,Encoding
0,Analysis of Financial Statements  JMSB Accountancy ACCO 355 300 Bachelor Real life accounting case discussions project based real company
1,"Accounting Theory ACCO 400 = ACCO 461 JMSB Accountancy ACCO 400 400 Bachelor Research-based group project, written report, recorded presentation"
2,Financial Reporting III ACCO 335 = ACCO 420 JMSB Accountancy ACCO 420 400 Bachelor All consolidation foreign currency translation done using Excel worksheets would done reality; case analysis done topics.
3,FINANCIAL REPORTING IV  JMSB Accountancy ACCO 425 400 Bachelor Prepare financial statements fictitious company
4,STRAT ACCTNG CASE ANALYSIS ACCO 435 = ACCO 470A JMSB Accountancy ACCO 435 400 Bachelor Comprehensive multi-subject strategic cases analysis (individual group levels)
5,"Fraud Prevention and Investigation ACCO 455 = ACCO 470F JMSB Accountancy ACCO 455 400 Bachelor Real‑life fraud case analyses, discussions presentations"
6,"Advanced Assurance Services ACCO 465 = ACCO 470D JMSB Accountancy ACCO 465 400 Bachelor This course covers important topics concepts auditing assurance services. It builds audit principles covered previous courses introduces specialized advanced topics particular importance professional accountants. In covering topics application, course focuses decision-making processes followed auditors."
7,FINANCIAL REPORTING:COMP APP  JMSB Accountancy ACCO 651 600 GDIP Case Analysis
8,FINA REPORTING IN PRACTICE  JMSB Accountancy ACCO 650 600 GDIP Case Analysis
9,INFO SYS/INTERNAL CONTROL  JMSB Accountancy ACCO 653 600 GDIP Case Analysis
10,BUSINESS ADVISORY SERVICES  JMSB Accountancy ACCO 652 600 GDIP Case Analysis Fictitious BOD Group Presentation
11,Taxation and Decision-Making  JMSB Accountancy ACCO 655 600 GDIP Case Analysis
12,"Capstone I Seminar  JMSB Accountancy ACCO 658 600 GDIP Group Case Analysis, Written Report, Fictitious BOD Group Presentation"
13,Capstone II Examination Preparation  JMSB Accountancy ACCO 659 600 GDIP Case Analysis
14,Assurance and Professional Practice  JMSB Accountancy ACCO 654 600 GDIP Case Analysis
15,Performance Management  JMSB Accountancy ACCO 656 600 GDIP Case Analysis Fictitious BOD Group Presentation
16,Financial Strategies and Decisions  JMSB Accountancy ACCO 657 600 GDIP Case Analysis
17,HONOURS SEMINAR IN ACCOUNTANCY  JMSB Accountancy ACCO 495 400 Bachelor Writing teaching case solution conducting applied research project
18,Ensemble I TPER 298 = ACTT 231 FFA Theatre ACTT 231 200 Bachelor Preparation theatrical presentation emphasis co‑operative nature theatre
19,Ensemble I TPER 298 = ACTT 231 FFA Theatre ACTT 231 200 Bachelor Preparation theatrical presentation emphasis co‑operative nature theatre
20,Improvisation  FFA Theatre ACTT 332 300 Bachelor Introduction improvisation method creation stage
21,Rasaboxes TPER 398F = ACTT 432 FFA Theatre ACTT 432 400 Bachelor Course provides intensive introduction performance emotion
22,One-Act Project  FFA Theatre ACTT 436 400 Bachelor Public production one-act text worldwide body dramatic literature
23,One-Act Project  FFA Theatre ACTT 436 400 Bachelor Public production one-act text worldwide body dramatic literature
24,Supervised Acting Performance Project  FFA Theatre ACTT 440 400 Bachelor Work self‑selected teams develop short projects
25,Supervised Acting Performance Project  FFA Theatre ACTT 440 400 Bachelor Work self‑selected teams develop short projects
26,Advanced Acting Studio  FFA Theatre ACTT 450 400 Bachelor Provides advanced students opportunity apply skills text study character development
27,Advanced Acting Studio  FFA Theatre ACTT 450 400 Bachelor Provides advanced students opportunity apply skills text study character development
28,"Designing an Acting Workshop TDEV 498 = ACTT 480 FFA Theatre ACTT 480 400 Bachelor Opportunity design course framework guidance instructor includes curriculum, implementation, assessment students"
29,"Conducting an Acting Workshop TDEV 498 = ACTT 481 FFA Theatre ACTT 481 400 Bachelor Conducting acting workshop: active observation, instructional strategies deliver curriculum, assessment"
30,"Conducting an Acting Workshop TDEV 498 = ACTT 481 FFA Theatre ACTT 481 400 Bachelor Conducting acting workshop: active observation, instructional strategies deliver curriculum, assessment"
31,Classical Text Project PROD 411 = ACTT 460 FFA Theatre ACTT 460 400 Bachelor Production iconic text worldwide body dramatic literature
32,Classical Text Project PROD 411 = ACTT 460 FFA Theatre ACTT 460 400 Bachelor Production iconic text worldwide body dramatic literature
33,"THE ACTOR'S PROFESSION PROD 412 = ACTT 465 FFA Theatre ACTT 465 400 Bachelor Development audition technique, camera technique, interview skills, career-oriented skills"
34,"THE ACTOR'S PROFESSION PROD 412 = ACTT 465 FFA Theatre ACTT 465 400 Bachelor Development audition technique, camera technique, interview skills, career-oriented skills"
35,Introduction to Acting I TPER 201 = ACTT 201 FFA Theatre  ACTT 201 200 Bachelor Development imagination physical expression
36,Introduction to Acting I TPER 201 = ACTT 201 FFA Theatre  ACTT 201 200 Bachelor Development imagination physical expression
37,"Introduction to Acting II TPER 202 = ACTT 202 FFA Theatre ACTT 202 200 Bachelor Development skills pertaining language, character, text"
38,"Introduction to Acting II TPER 202 = ACTT 202 FFA Theatre ACTT 202 200 Bachelor Development skills pertaining language, character, text"
39,Ensemble II TPER 325 = ACTT 360 FFA Theatre ACTT 360 300 Bachelor Course focuses skill development performance particular theatrical genre
40,Ensemble II TPER 325 = ACTT 360 FFA Theatre ACTT 360 300 Bachelor Course focuses skill development performance particular theatrical genre
41,Movement for the Stage II TPER 331 = ACTT 321 FFA Theatre ACTT 321 300 Bachelor Various movement-based ensemble performance techniques methods
42,CREATION PROJECT TPER 333= ACTT 435 FFA Theatre ACTT 435 400 Bachelor Course offers supervised application theatrical skills
43,CREATION PROJECT TPER 333= ACTT 435 FFA Theatre ACTT 435 400 Bachelor Course offers supervised application theatrical skills
44,"Voice for the Stage II TPER 345 = ACTT 325 FFA Theatre ACTT 325 300 Bachelor Course emphasizes embodiment, self‑awareness"
45,Voice for the Stage III TPER 355 = ACTT 355 FFA Theatre ACTT 355 300 Bachelor Thorough introduction particular voice‑based performance technique
46,Special Topics in Acting  FFA Theatre ACTT 398 300 Bachelor Provides opportunities studies selected styles modes theatre performance
47,Special Topics in Acting  FFA Theatre ACTT 398 300 Bachelor Provides opportunities studies selected styles modes theatre performance
48,Special Topics in Acting  FFA Theatre ACTT 399 300 Bachelor Provides opportunities studies selected styles modes theatre performance
49,Movement for the Stage III TPER 431 = ACTT 358 FFA Theatre ACTT 358 300 Bachelor Course deepens student learning particular movement-based performance technique
50,Movement for the Stage III TPER 431 = ACTT 358 FFA Theatre ACTT 358 300 Bachelor Course deepens student learning particular movement-based performance technique
51,Special Topics in Acting  FFA Theatre ACTT 498 400 Bachelor Provides opportunities studies selected styles modes theatre performance
52,Special Topics in Acting  FFA Theatre ACTT 498 400 Bachelor Provides opportunities studies selected styles modes theatre performance
53,Special Topics in Acting  FFA Theatre ACTT 499 400 Bachelor Provides opportunities studies selected styles modes theatre performance
54,Clown for the Actor  FFA Theatre ACTT 370 300 Bachelor Course focuses development clown characters situations
55,Stage Combat  FFA Theatre ACTT 372 300 Bachelor Course focuses development unarmed armed stage combat
56,"Voice for the Stage IV  FFA Theatre ACTT 455 400 Bachelor Advanced exploration particular voice‑based performance technique, method, approach"
57,"Voice for the Stage IV  FFA Theatre ACTT 455 400 Bachelor Advanced exploration particular voice‑based performance technique, method, approach"
58,"Movement for the Stage IV ACTT 458 = TPER 431 FFA Theatre ACTT 458 400 Bachelor Exploration particular movement‑based performance technique, method, approach"
59,LABAN FOR THE ACTOR  FFA Theatre ACTT 362 300 Bachelor Using Laban’s effort actions investigate movement space
60,Actuarial Mathematics Lab I ACTU 286 = MATH 229 FAS Mathematics and Statistics ACTU 286 200 Bachelor Lab
61,Actuarial Mathematics Lab I ACTU 286 = MATH 229 FAS Mathematics and Statistics ACTU 286 200 Bachelor Lab
62,Actuarial Mathematics Lab II ACTU386 = MATH232 FAS Mathematics and Statistics ACTU 386 300 Bachelor Lab
63,Actuarial Mathematics Lab II  FAS Mathematics and Statistics ACTU 386 300 Bachelor Lab
64,"Actuarial Mathematics Lab III ACTU 486 = MATH 429 FAS Mathematics and Statistics ACTU 486 400 Bachelor Lab, workshop"
65,Design of Adult Learning Projects  FAS Education ADED 344 300 Bachelor Design & conduct learning activity area subject matter specialty
66,Evaluating Adult Learning Projects  FAS Education ADED 345 300 Bachelor Conduct evaluation adult learning project area subject matter specialty
67,"GAS TURBINE DESIGN AERO 465 = MECH 465 GCS Mechanical, Industrial and Aerospace Engineering (MIAE) AERO 465 400 Bachelor Laboratory: 2 hours per week, alternate weeks"
68,"GAS TURBINE DESIGN AERO 465 = MECH 465 GCS Mechanical, Industrial and Aerospace Engineering (MIAE) AERO 465 400 Bachelor Laboratory: 2 hours per week, alternate weeks"
69,"FLIGHT CONTROL SYSTEMS ELEC 415 = MECH 480 = AERO 480 GCS Mechanical, Industrial and Aerospace Engineering (MIAE) AERO 480 400 Bachelor Laboratory: 2 hours per week, alternate weeks"
70,"FLIGHT CONTROL SYSTEMS ELEC 415 = MECH 480 = AERO 480 GCS Mechanical, Industrial and Aerospace Engineering (MIAE) AERO 480 400 Bachelor Laboratory: 2 hours per week, alternate weeks"
71,"AVIONIC NAVIGATION SYSTEMS ELEC 416 = MECH 482 = AERO 482 GCS Mechanical, Industrial and Aerospace Engineering (MIAE) AERO 482 400 Bachelor Laboratory: 1 hour per week"
72,"Introduction to Flight and Aerospace System  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) AERO 201 200 Bachelor Laboratory: 4 hours per week, alternate weeks"
73,"Introduction to Flight and Aerospace System  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) AERO 201 200 Bachelor Laboratory: 4 hours per week, alternate weeks"
74,"Modelling and Control Systems  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) AERO 371 300 Bachelor Laboratory: 2 hours per week, alternate weeks"
75,"Modelling and Control Systems  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) AERO 371 300 Bachelor Laboratory: 2 hours per week, alternate weeks"
76,"Modelling and Control Systems  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) AERO 371 300 Bachelor Laboratory: 2 hours per week, alternate weeks"
77,"AEROSPACE ENGINEERING DESIGN PROJECT  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) AERO 390 300 Bachelor Team-based project, design, implement, alternate weeks"
78,"AEROSPACE ENGINEERING DESIGN PROJECT  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) AERO 390 300 Bachelor Team-based project, design, implement, alternate weeks"
79,"COMPUTATIONAL FLUID DYNAMICS FOR AEROSPACE APPLICATIONS  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) AERO 455 400 Bachelor Laboratory: 3 hours per week, alternate weeks"
80,"COMPUTATIONAL FLUID DYNAMICS FOR AEROSPACE APPLICATIONS  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) AERO 455 400 Bachelor Laboratory: 3 hours per week, alternate weeks"
81,"MATERIALS ENGINEERING FOR AEROSPACE  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) AERO 481 400 Bachelor Laboratory: 2 hours per week, alternate weeks"
82,"MATERIALS ENGINEERING FOR AEROSPACE  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) AERO 481 400 Bachelor Laboratory: 2 hours per week, alternate weeks"
83,"CAPSTONE AEROSPACE ENGINEERING DESIGN PROJECT  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) AERO 490 400 Bachelor supervised design, simulation experimental capstone design project"
84,"Principles of Experiential & Action Learning & the Reflective Practitioner AHSC 225 = APSS 415 FAS Applied Human Sciences AHSC 225 200 Bachelor / Certificate Enables students create clear personal visions, set relevant learning goals, create, organize related activities, & assess progress"
85,"Principles of Experiential & Action Learning & the Reflective Practitioner  FAS Applied Human Sciences AHSC 225 200 Bachelor / Certificate Enables students create clear personal visions, set relevant learning goals, create, organize related activities, & assess progress"
86,WORKING IN TASK GROUPS AHSC 232 = APSS 240 FAS Applied Human Sciences AHSC 232 200 Bachelor Opportunities integrate theory learn experiences task group
87,"PROGRAM PLANNING, DESIGN AND EVALUATION AHSC 260 = LESR 261 FAS Applied Human Sciences AHSC 260 200 Bachelor Opportunities integrate theory learn experiences task group"
88,FUNDAMENTALS OF CHILD - AND YOUTH-CARE WORK AHSC322 = AHSC398C FAS Applied Human Sciences AHSC 322 300 Bachelor Simulations
89,FUNDAMENTALS OF CHILD - AND YOUTH-CARE WORK  FAS Applied Human Sciences AHSC 322 300 Bachelor Simulations
90,Leisure Education in Therapeutic Recreation and Leisure Services  FAS Applied Human Sciences AHSC 350 300 Bachelor The development implementation leisure education children BASE school program
91,"PLAY, ADULT LEARNING AND DEVELOPMENT AHSC 360 = LESR 360 FAS Applied Human Sciences AHSC 360 300 Bachelor Design implement play based simulations appropriate various levels according life stage development. Moot programs class peer groups"
92,Leisure Services Leadership AHSC 361 = LESR 361 FAS Applied Human Sciences AHSC 361 300 Bachelor Experiential learning simulation peers campus retreat
93,Leisure Services Leadership  FAS Applied Human Sciences AHSC 361 300 Bachelor Experiential learning simulation peers campus retreat
94,"Community Recreation Planning AHSC 371 = LESR 371 FAS Applied Human Sciences AHSC 371 300 Bachelor Practical experience, field experience, project planning"
95,Therapeutic Recreation: Cognitive Disabilities and Illness  FAS Applied Human Sciences AHSC 384 300 Bachelor Volunteer placements - students actively involved assisting recreation leisure programs community organizations; Living Library component – method informal education involving students ‘readers’ engage conversations ‘living books’ (individuals mental illness)
96,Therapeutic Recreation: Cognitive Disabilities and Illness  FAS Applied Human Sciences AHSC 384 300 Bachelor Volunteer placements - students actively involved assisting recreation leisure programs community organizations; Living Library component – method informal education involving students ‘readers’ engage conversations ‘living books’ (individuals mental illness)
97,YOUTH AND LEISURE  FAS Applied Human Sciences AHSC 422 400 Bachelor Laboratory
98,"Organizational Development II AHSC425 = AHSC420 FAS Applied Human Sciences AHSC 425 400 Bachelor / Certificate Experiential approaches, in-class applications"
99,"Organizational Development II  FAS Applied Human Sciences AHSC 425 400 Bachelor / Certificate Experiential approaches, in-class applications"
100,Seminar in Therapeutic Recreation  FAS Applied Human Sciences AHSC 432 400 Bachelor Students use knowledge TR various skills interests class design community project benefit community
101,"FIELDWORK PRACTICE  FAS Applied Human Sciences AHSC 435 400 Bachelor / Certificate Fieldwork, lead one small task learning group community, organizational institutional setting"
102,"Internship in Youth and Family Work AHSC436=AHSC439 FAS Applied Human Sciences AHSC 436 400 Bachelor 360-hour internship, supervised placement implementing family life education programs settings community organizations, education, health care"
103,"Internship in Youth and Family Work AHSC436=AHSC439 FAS Applied Human Sciences AHSC 436 400 Bachelor Work youth families settings child welfare, schools, non-profit organizations, residential care, outreach"
104,"Internship in Youth and Family Work  FAS Applied Human Sciences AHSC 436 400 Bachelor 360-hour internship, supervised placement implementing family life education programs settings community organizations, education, health care"
105,"Internship in Youth and Family Work  FAS Applied Human Sciences AHSC 436 400 Bachelor Work youth families settings child welfare, schools, non-profit organizations, residential care, outreach"
106,"INTERNSHIP IN LEISURE SCIENCES  FAS Applied Human Sciences AHSC 437 400 Bachelor Opportunity design, implement, evaluate programs; facilitate groups variety settings; establish working relationships field personnel"
107,"INTERNSHIP IN THERAPEUTIC RECREATION  FAS Applied Human Sciences AHSC 438 400 Bachelor Opportunity design, implement, evaluate programs, facilitate groups variety settings, establish working relationships field personnel"
108,"Internship in Human Relations AHSC436=AHSC439 FAS Applied Human Sciences AHSC 439 400 Bachelor Opportunity design, implement, evaluate small group leadership several settings, negotiate working relationships site personnel"
109,"Internship in Human Relations  FAS Applied Human Sciences AHSC 439 400 Bachelor Opportunity design, implement, evaluate small group leadership several settings, negotiate working relationships site personnel"
110,COMMUNITY DEVELOPMENT I AHSC 343 = AHSC 443 FAS Applied Human Sciences AHSC 443 400 Bachelor / Certificate Community
111,THE OLDER ADULT AND LEISURE  FAS Applied Human Sciences AHSC 444 400 Bachelor Students form small working groups older adults local community organizations design facilitate conversation café
112,BASIC HUMAN RELATIONS LABORATORY  FAS Applied Human Sciences AHSC 470 400 Bachelor Laboratory
113,"INDEPENDENT STUDY I  FAS Applied Human Sciences AHSC 490 400 Bachelor Field studies, and/or research"
